DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,TOTAL_DC_POWER,TOTAL_AC_POWER,TOTAL_DAILY_YIELD,TOTAL_TOTAL_YIELD,hour,minute,day_of_year,day_of_week,week_of_year,hour_sin,hour_cos,day_sin,day_cos,intraday_position,is_daytime,is_peak_sun,is_morning,is_afternoon,TOTAL_AC_POWER_lag_1,TOTAL_AC_POWER_lag_2,TOTAL_AC_POWER_lag_4,TOTAL_AC_POWER_lag_8,TOTAL_AC_POWER_lag_16,TOTAL_AC_POWER_lag_24,TOTAL_AC_POWER_lag_48,TOTAL_AC_POWER_lag_96,AMBIENT_TEMPERATURE_lag_1,AMBIENT_TEMPERATURE_lag_4,AMBIENT_TEMPERATURE_lag_8,AMBIENT_TEMPERATURE_lag_16,MODULE_TEMPERATURE_lag_1,MODULE_TEMPERATURE_lag_4,MODULE_TEMPERATURE_lag_8,MODULE_TEMPERATURE_lag_16,TOTAL_AC_POWER_rolling_mean_4,TOTAL_AC_POWER_rolling_std_4,TOTAL_AC_POWER_rolling_min_4,TOTAL_AC_POWER_rolling_max_4,TOTAL_AC_POWER_rolling_mean_8,TOTAL_AC_POWER_rolling_std_8,TOTAL_AC_POWER_rolling_min_8,TOTAL_AC_POWER_rolling_max_8,TOTAL_AC_POWER_rolling_mean_16,TOTAL_AC_POWER_rolling_std_16,TOTAL_AC_POWER_rolling_min_16,TOTAL_AC_POWER_rolling_max_16,TOTAL_AC_POWER_rolling_mean_32,TOTAL_AC_POWER_rolling_std_32,TOTAL_AC_POWER_rolling_min_32,TOTAL_AC_POWER_rolling_max_32,TOTAL_AC_POWER_rolling_mean_96,TOTAL_AC_POWER_rolling_std_96,TOTAL_AC_POWER_rolling_min_96,TOTAL_AC_POWER_rolling_max_96,TOTAL_AC_POWER_ewm_4,TOTAL_AC_POWER_ewm_12,TOTAL_AC_POWER_ewm_24,TOTAL_AC_POWER_ewm_48,solar_declination,solar_elevation,theoretical_irradiance,inverter_efficiency,temp_loss_factor,temp_difference,temp_ratio,TOTAL_AC_POWER_diff_1,TOTAL_AC_POWER_diff_4,TOTAL_AC_POWER_pct_change_1,TOTAL_AC_POWER_momentum_8,TOTAL_AC_POWER_momentum_16,TOTAL_AC_POWER_momentum_32,TOTAL_AC_POWER_cv_8,TOTAL_AC_POWER_cv_16,TOTAL_AC_POWER_cv_32,TOTAL_AC_POWER_skew_16,TOTAL_AC_POWER_kurt_16,TOTAL_AC_POWER_skew_32,TOTAL_AC_POWER_kurt_32,TOTAL_AC_POWER_skew_96,TOTAL_AC_POWER_kurt_96,TOTAL_AC_POWER_vs_daily_mean,TOTAL_AC_POWER_vs_daily_max_ratio,weather_regime,pca_1,pca_2
2020-05-16 06:00:00,24.044604566666663,22.218803,0.0130386867233333,313.557619047619,302.6719047619048,22.295238095238098,14189757953.29524,6,0,137,5,20,1.0,6.123233995736766e-17,0.705583610107178,-0.7086266782644596,0.25,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,819.44,0.0,23.7527953,23.555944965517245,24.145103033333328,25.73270810344827,21.5181203,21.469423448275865,21.844981,23.781227931034483,75.6679761904762,151.335952381182,0.0,302.6719047619048,37.8339880952381,107.01067816560516,0.0,302.6719047619048,18.91699404761905,75.6679761903612,0.0,302.6719047619048,9.458497023809525,53.50533908329681,0.0,302.6719047619048,6788.962589285715,8007.103838910331,0.0,19754.621904761905,121.06876199815225,49.42479680674849,233.62797733733376,1557.6099371945356,19.263625174941613,7.406501117471806,176.2173954114416,0.9652832091314577,1.011124788,-1.8258015666666623,0.9240660597430745,302.6719047619048,302.6719047619048,inf,264.8379166666667,283.75491071428576,293.21340773809527,2.8284271247385058,3.9999999999939213,5.656854249529265,4.000000000038218,15.999999998570537,5.656854249297034,31.999999959387242,0.500332790806532,-1.612389990106832,-5470.80164186508,0.014602543495746603,1,-3.3582794791441097,-1.3297649544087706
2020-05-16 06:15:00,23.967375551724132,22.68291920689656,0.0351802419310345,1032.84,998.9066666666666,179.79999999999998,14095618611.666666,6,15,137,5,20,1.0,6.123233995736766e-17,0.705583610107178,-0.7086266782644596,0.2604166666666667,1,0,1,0,302.6719047619048,0.0,0.0,0.0,0.0,0.0,526.5133333333333,320.43333333333334,24.044604566666663,23.608172666666665,23.826843103448272,25.415572900000004,22.218803,21.290091866666668,21.78638127586208,23.332380266666668,325.39464285714286,471.1327188252469,0.0,998.9066666666666,162.69732142857143,354.09067915328103,0.0,998.9066666666666,81.34866071428571,256.06550425531395,0.0,998.9066666666666,40.67433035714286,182.85230897696238,0.0,998.9066666666666,6796.03001984127,8001.631880312108,0.0,19754.621904761905,472.2039238655581,195.49893087453952,294.8528149473201,1534.657489330962,19.263625174941613,10.704351008078747,253.90826673148547,0.9671456049985154,1.0092683231724138,-1.2844563448275714,0.9464081354232724,696.2347619047619,998.9066666666666,2.3002953064059617,836.2093452380952,917.5580059523809,958.2323363095238,2.1763768207378664,3.147753165287773,4.495521066270031,3.5204802584610277,12.78718191853549,5.041827773108041,26.38418495960763,0.5002600433770468,-1.61188742250346,-4774.566879960317,0.04819270576060142,1,-3.2031234616186186,-1.40047582233628
2020-05-16 06:30:00,24.587146,23.915494766666665,0.0609255881666666,1892.047619047619,1836.4485714285715,533.347619047619,14189758464.34762,6,30,137,5,20,1.0,6.123233995736766e-17,0.705583610107178,-0.7086266782644596,0.2708333333333333,1,0,1,0,998.9066666666666,302.6719047619048,0.0,0.0,0.0,0.0,322.3,566.977619047619,23.967375551724132,23.65812755172413,23.926709899999995,25.19277224137931,22.68291920689656,21.13980431034483,21.9009552,22.96086503448276,784.5067857142858,816.5301747472892,0.0,1836.4485714285715,392.2533928571429,679.397461251134,0.0,1836.4485714285715,196.12669642857145,506.3936064178623,0.0,1836.4485714285715,98.06334821428572,366.07079862263487,0.0,1836.4485714285715,6809.253675595238,7992.27276702962,0.0,19754.621904761905,1017.9017828907638,447.9527220846377,418.18518732195304,1547.052274058269,19.263625174941613,14.024157806548562,331.26645381321754,0.9706143507915336,1.0043380209333332,-0.6716512333333355,0.9726828305597838,837.5419047619049,1836.4485714285715,0.838458619519246,1444.1951785714286,1640.321875,1738.3852232142858,1.732037182145083,2.581971835753063,3.733003260532218,2.836257703450919,7.918888753880915,4.184358086086348,18.04338582383851,0.49947088202005,-1.6108581452443247,-3937.0249751984124,0.08860029530353249,1,-2.9343908307816133,-1.3789480912787921
2020-05-16 06:45:00,25.354185862068967,25.459055931034484,0.0875569148620689,2790.5666666666666,2715.6866666666665,1101.0666666666666,14189759032.066668,6,45,137,5,20,1.0,6.123233995736766e-17,0.705583610107178,-0.7086266782644596,0.28125,1,0,1,0,1836.4485714285715,998.9066666666666,0.0,0.0,0.0,0.0,49.90285714285714,1243.5561904761903,24.587146,23.7527953,23.850604333333333,24.890646333333336,23.915494766666665,21.5181203,21.746985866666662,22.694644266666664,1463.4284523809524,1044.0994359900506,302.6719047619048,2715.6866666666665,731.7142261904762,1038.7957703294044,0.0,2715.6866666666665,365.8571130952381,803.9610024712266,0.0,2715.6866666666665,182.92855654761905,589.316466273087,0.0,2715.6866666666665,6824.588368055555,7982.888282240713,0.0,19754.621904761905,1697.0157364011254,796.8348678208093,601.9917661350821,1595.0367516194449,19.263625174941613,17.36363210734272,407.9606970233085,0.973166740327532,0.9981637762758621,0.10487006896551776,1.0041362033683916,879.238095238095,2715.6866666666665,0.4787708781597606,1983.9724404761903,2349.8295535714283,2532.7581101190476,1.4196741475667172,2.1974726572063217,3.221566262781279,2.3197189395187148,4.767492761645338,3.5543833685155724,12.625803265053014,0.49754273187350884,-1.6097420824698145,-3057.7868799603175,0.13101953649121886,1,-2.624876359198277,-1.3393967679731436
2020-05-16 07:00:00,25.97149146666667,27.4219574,0.1271157612,3700.975238095238,3625.84380952381,1899.5047619047616,14189759830.504765,7,0,137,5,20,0.9659258262890683,-0.25881904510252063,0.705583610107178,-0.7086266782644596,0.2916666666666667,1,0,1,0,2715.6866666666665,1836.4485714285715,302.6719047619048,0.0,0.0,0.0,0.0,3373.658571428572,25.354185862068967,24.044604566666663,23.555944965517245,24.73890786666667,25.459055931034484,22.218803,21.469423448275865,22.36363426666667,2294.221428571429,1131.1126430085385,998.9066666666666,3625.84380952381,1184.9447023809525,1401.5763567759143,0.0,3625.84380952381,592.4723511904763,1136.2889825484715,0.0,3625.84380952381,296.23617559523814,845.7765600097243,0.0,3625.84380952381,6827.215297619047,7981.782147560886,0.0,19754.621904761905,2468.5469656501996,1232.0670131371676,843.9077522788651,1678.4019577780919,19.263625174941613,20.720722781734757,483.66257983801853,0.9796995592410135,0.9903121704,1.45046593333333,1.055848388037127,910.1571428571433,3323.171904761905,0.33514806918955187,2440.8991071428572,3033.3714583333335,3329.607633928572,1.1828200539313571,1.9178768093823866,2.8550752058227684,1.9299330111095336,2.7920017351941437,3.0924054944667856,9.177780670918352,0.49691815088128566,-1.6097029886775056,-2147.629737103174,0.17493048117236087,1,-2.2642883241993967,-1.1228742620942884
2020-05-16 07:15:00,26.566503000000004,28.13256420689656,0.1977868686206896,5537.123333333334,5433.604761904762,2946.4666666666667,14189760877.466663,7,15,137,5,20,0.9659258262890683,-0.25881904510252063,0.705583610107178,-0.7086266782644596,0.3020833333333333,1,0,1,0,3625.84380952381,2715.6866666666665,998.9066666666666,0.0,0.0,0.0,0.0,6614.38,25.97149146666667,23.967375551724132,23.608172666666665,24.38789213793104,27.4219574,22.68291920689656,21.290091866666668,22.108074344827585,3402.8959523809526,1538.3430497071517,1836.4485714285715,5433.604761904762,1864.1452976190476,1953.2911695842497,0.0,5433.604761904762,932.0726488095238,1645.3485044162453,0.0,5433.604761904762,466.0363244047619,1238.595079450952,0.0,5433.604761904762,6814.915555555555,7983.023251406394,0.0,19754.621904761905,3654.5700841520256,1878.4574365761375,1211.0944366376934,1832.5180421929301,19.263625174941613,24.093580939568305,558.0479351731708,0.981304629643087,0.9874697431724138,1.5660612068965563,1.05894871473662,1807.7609523809524,4434.698095238095,0.4985766203256201,3569.4594642857146,4501.532113095238,4967.5684375,1.0478213109670487,1.7652577902781963,2.657722187284284,1.8615975381174508,2.840809940892126,2.9988587380827014,8.981963352132487,0.5013499940636837,-1.6074098286114011,-339.8687847222218,0.26214672926721105,1,-1.9751574331955495,-1.1297024907826096
2020-05-16 07:30:00,27.20900983333333,28.955779966666665,0.3151637090000001,8557.279999999999,8408.233333333334,4722.0,14189762653.0,7,30,137,5,20,0.9659258262890683,-0.25881904510252063,0.705583610107178,-0.7086266782644596,0.3125,1,0,1,0,5433.604761904762,3625.84380952381,1836.4485714285715,0.0,0.0,0.0,0.0,8234.446666666667,26.566503000000004,24.587146,23.65812755172413,24.3363027,28.13256420689656,23.915494766666665,21.13980431034483,21.9420616,5045.842142857144,2510.116476474923,2715.6866666666665,8408.233333333334,2915.1744642857143,2859.075195316088,0.0,8408.233333333334,1457.5872321428571,2465.9433007295775,0.0,8408.233333333334,728.7936160714286,1868.3236383888977,0.0,8408.233333333334,6816.725833333333,7983.3682381432445,0.0,19754.621904761905,5556.03538382455,2883.038344494991,1786.8813073496763,2102.329349215593,19.263625174941613,27.480527967083308,630.7982335173723,0.9825824716888234,0.9841768801333334,1.7467701333333352,1.0641982249274429,2974.6285714285714,6571.7847619047625,0.547450302657974,5493.05886904762,6950.646101190477,7679.439717261905,0.9807561195198066,1.6917980936923382,2.5635839793165593,1.9378200772287213,3.4342319355020856,3.064396801396652,9.740935471715261,0.500615284913719,-1.6081346593199173,2634.7597867063496,0.40565903554534377,1,-1.5821336754699435,-1.1636250252146407
2020-05-16 07:45:00,27.765504866666664,34.27935109999999,0.3058852646666667,8476.396666666666,8324.602380952381,6858.676190476191,14133869603.47619,7,45,137,5,20,0.9659258262890683,-0.25881904510252063,0.705583610107178,-0.7086266782644596,0.3229166666666667,1,0,1,0,8408.233333333334,5433.604761904762,2715.6866666666665,0.0,0.0,0.0,0.0,9919.995238095238,27.20900983333333,25.354185862068967,23.7527953,24.443725379310344,28.955779966666665,25.459055931034484,21.5181203,21.88146162068965,6448.0710714285715,2335.0741929409305,3625.84380952381,8408.233333333334,3955.7497619047617,3146.9138949492253,302.6719047619048,8408.233333333334,1977.8748809523809,2965.5049502663114,0.0,8408.233333333334,988.9374404761904,2294.5180568422593,0.0,8408.233333333334,6800.107157738096,7978.499329822854,0.0,19754.621904761905,6663.462182675683,3720.202042923048,2309.912163104717,2357.5834805974273,19.263625174941613,30.880026544600252,701.601946924284,0.9820921210175058,0.9628825956,6.513846233333329,1.2346021174336146,-83.6309523809523,5608.915714285715,-0.009946316790402143,4368.85261904762,6346.727500000001,7335.664940476191,0.7955290613312032,1.4993390020901471,2.320185244212626,1.4611801163503997,0.9468682257562877,2.539329613503853,5.7225364680926445,0.5073541018995242,-1.6003578032283803,2551.1288343253973,0.4016242222689208,1,-0.9554610818890399,-1.1525350038338766
2020-05-16 08:00:00,28.175339344827588,37.61465024137932,0.4404601989655171,11957.473333333332,11720.873333333331,9299.6,14189767230.6,8,0,137,5,20,0.8660254037844387,-0.4999999999999998,0.705583610107178,-0.7086266782644596,0.3333333333333333,1,0,1,0,8324.602380952381,8408.233333333334,3625.84380952381,302.6719047619048,0.0,0.0,0.0,11813.325714285716,27.765504866666664,25.97149146666667,24.044604566666663,24.145103033333328,34.27935109999999,27.4219574,22.218803,21.844981,8471.828452380953,2569.877797813789,5433.604761904762,11720.873333333331,5383.024940476191,3779.204757652648,998.9066666666666,11720.873333333331,2710.429464285714,3780.1335467432223,0.0,11720.873333333331,1355.214732142857,2968.178367798896,0.0,11720.873333333331,6799.144112103175,7977.893395760801,0.0,19754.621904761905,8686.426642938744,4951.07454977641,3062.8064979056285,2741.611212887602,19.263625174941613,34.29065350327617,770.1558830231146,0.9802132111521887,0.9495413990344828,9.439310896551735,1.3350203091088804,3396.27095238095,8095.029523809521,0.40797996071884435,6337.84839285714,9010.443869047616,10365.658601190475,0.7020596782370349,1.39466221001232,2.1901904527746914,1.3476255575692246,0.7389863155739361,2.4038026341641037,5.143017612343874,0.5076946866310222,-1.5997728759405638,5947.399786706347,0.5654788566939315,0,-0.26365151899571393,-1.046268865723633
2020-05-16 08:15:00,29.1131897,42.300315966666666,0.4899591566666666,13697.88619047619,13420.211904761903,12439.485714285714,14189770370.485716,8,15,137,5,20,0.8660254037844387,-0.4999999999999998,0.705583610107178,-0.7086266782644596,0.34375,1,0,1,0,11720.873333333331,8324.602380952381,5433.604761904762,998.9066666666666,0.0,0.0,0.0,12132.810476190476,28.175339344827588,26.566503000000004,23.967375551724132,23.826843103448272,37.61465024137932,28.13256420689656,22.68291920689656,21.78638127586208,10468.480238095239,2524.6806974302995,8324.602380952381,13420.211904761903,6935.688095238094,4243.760099668066,1836.4485714285715,13420.211904761903,3549.192708333333,4549.269362851005,0.0,13420.211904761903,1774.5963541666665,3642.1011619212654,0.0,13420.211904761903,6812.554543650793,7988.02898122501,0.0,19754.621904761905,10579.94074766801,6254.018758805736,3891.416590016873,3179.498710333719,19.263625174941613,37.71107322080741,836.166483334896,0.979728676245876,0.9307987361333333,13.187126266666667,1.4529605447755753,1699.3385714285723,7986.607142857141,0.14498395495801275,6484.523809523809,9871.01919642857,11645.615550595237,0.611872973725815,1.2817758112061766,2.0523546965312915,1.1435616376292899,0.04975073188841067,2.18353735150816,3.889681252104101,0.5035426385334988,-1.6078390934074185,7646.7383581349195,0.6474642177825529,0,0.4461752014690587,-1.0263750621496153
