Model,MAE,RMSE,MAPE,sMAPE,R2,NRMSE,Split
Prophet,3027.2054312168607,3578.374577019982,10.649214217400315,11.450860364414135,-23.299228041014995,204.64518684014516,Test
SARIMA,22642.036700740293,22765.245244638467,80.56227744633895,136.14763400711865,-982.480025596195,1301.9313004483015,Test
LSTM,19905.593190190702,19913.153017307544,69.9025349098455,107.46652801056287,-1190.2189890927868,1725.702023156608,Test
Quantile RF,720.9532847671047,847.2011239363678,2.5292998606122845,2.5734165966431415,-0.362052739118327,48.45094569264565,Test
Stacked (RidgeCV+NN),1151.8190223657573,1571.502596588058,4.029201855883833,4.183877723969645,-3.686526566880958,89.8733309150549,Test
